Tender Title,Label,Tender No and date,Plant/Unit,Tender issue date and time,Bid Submission Closing date and Time,Remarks,Label_Code
Procurement of One no. of Nd YAG Ophthalmic  Laser for Eye Department for  IGH Medical RSP,electronics,044/006/1992000222/ 104              DATED:29.02.2020,Rourkela Steel Plant,Feb 29 2020  7:00:00:000PM,May 22 2020  2:30:00:000PM,Corr,1
OLFA FOR SALE OF LIQUID ARGON,raw_materials,10120679 dt.30.03.2020,Bhilai Steel Plant,Mar 25 2020  7:00:00:000PM,Mar 30 2020  5:00:00:000PM, --  ,5
OLFA FOR SALE OF INDUSTRIAL GASES (LIQUID ARGON),raw_materials,10120681 dt.18.04.2020,Bhilai Steel Plant,Apr 13 2020  5:00:00:000PM,Apr 18 2020  5:00:00:000PM, --  ,5
OLFA FOR SALE OF INDUSTRIAL GASES (LIQUID ARGON),raw_materials,10120683 dt.28.04.2020,Bhilai Steel Plant,Apr 24 2020  8:00:00:000PM,Apr 28 2020  5:00:00:000PM, --  ,5
OLFA FOR SALE OF INDUSTRIAL GASES (LIQUID ARGON),raw_materials,10120685 dt.08.05.2020,Bhilai Steel Plant,May  2 2020  7:00:00:000PM,May  8 2020  5:00:00:000PM, --  ,5
OLFA FOR SALE OF INDUSTRIAL GASES (LIQUID ARGON),raw_materials,10120687 dt.18.05.2020,Bhilai Steel Plant,May 12 2020  6:00:00:000PM,May 18 2020 12:00:00:000PM, --  ,5
OLFA FOR SALE OF COAL CHEMICALS,raw_materials,10120688 dt.30.03.2020,Bhilai Steel Plant,Mar 25 2020  7:00:00:000PM,Mar 30 2020  5:00:00:000PM, --  ,5
OLFA FOR SALE OF COAL CHEMICALS,raw_materials,10120690 dt.18.04.2020,Bhilai Steel Plant,Apr 13 2020  5:00:00:000PM,Apr 18 2020  5:00:00:000PM, --  ,5
OLFA FOR SALE OF COAL CHEMICALS (BENZENE & CRUDE COAL TAR),raw_materials,10120692 dt.24.03.2020,Bhilai Steel Plant,Mar 21 2020  3:00:00:000PM,Mar 24 2020  5:00:00:000PM, --  ,5
OLFA FOR SALE OF COAL CHEMICALS,raw_materials,10120694 dt.24.04.2020,Bhilai Steel Plant,Apr 24 2020  8:00:00:000PM,Apr 28 2020  5:00:00:000PM, --  ,5
OLFA FOR SALE OF COAL CHEMICALS & FERTILIZERS,raw_materials,10120696 dt.08.05.2020,Bhilai Steel Plant,May  2 2020  7:00:00:000PM,May  8 2020  5:00:00:000PM, --  ,5
"OLFA FOR SALE OF COAL CHEMICALS (NG BENZENE, PCM & CCT)",raw_materials,10120698 dt.11.04.2020,Bhilai Steel Plant,Apr  3 2020  7:00:00:000PM,Apr 11 2020  5:00:00:000PM, --  ,5
OLFA FOR SALE OF COAL CHEMICALS & FERTILIZERS,raw_materials,10120700 dt.18.05.2020,Bhilai Steel Plant,May 12 2020  5:00:00:000PM,May 18 2020 12:00:00:000PM, --  ,5
"One set of Grab Trolley and its erection, installation, testing and commissioning in Ore Bridge Crane-4 of Blast Furnace of Bhilai Steel Plant, Bhilai as per Technical Specification TS No. EDD/D/015-0027-Rev.-0.",none,19A04729015 / 2019400182  Dated: 19.12.2019,Bhilai Steel Plant,Dec 19 2019  6:00:00:000PM,May 21 2020  1:00:00:000PM,Corr,4
Quartzite (or similar) Lumps,raw_materials,19R01101023/2   Dated 23.03.2020,Bhilai Steel Plant,Apr  1 2020  5:00:00:000PM,May 23 2020  1:00:00:000PM,Corr,5
Steel Ladle Refractories on Total Ladle Management for SMS-3 Steel Ladles,machine,19R05715148/2019100191 dtd. 27.02.2020,Bhilai Steel Plant,Feb 29 2020  6:30:00:000PM,May 21 2020  1:00:00:000PM,Corr,3
"Bhilai Steel Plant intends to procure ABOVE BURDEN TEMPERATURE PROBES AS PER TS NO.-EDD/D/015-0026 R1 for Blast Furnace-4 of Bhilai Steel Plant, Bhilai.",electronics,20A02729003 / 2020400100 Dt. 25.04.2020,Bhilai Steel Plant,Apr 25 2020  4:00:00:000PM,May 23 2020  1:00:00:000PM, --  ,1
1 Ton Passenger cum Goods Lift for Blast Furnace # 7 - 1 Set,machine,20A04729004 / 2020400110  Dt. 15.05.2020,Bhilai Steel Plant,May 15 2020  4:00:00:000PM,Jun 11 2020  1:00:00:000PM, --  ,3
Steel Ladle Refractories on Total Ladle Management for SMS-2 Steel Ladles,machine,20R05715001/2020100001 dtd. 22.04.2020,Bhilai Steel Plant,May  2 2020  6:00:00:000PM,May 23 2020  1:00:00:000PM, --  ,3
TEA & COFFEE POWDER,none,2111757,Visvesvaraya Iron & Steel Plant,May  7 2020  4:30:00:000PM,May 13 2020  3:00:00:000PM, --  ,4
Procurement of Stationery Items,none,2111760 dtd 11.04.2020,Visvesvaraya Iron & Steel Plant,Apr 27 2020  6:00:00:000PM,May  8 2020  3:00:00:000PM, --  ,4
STATIONERY ITEMS,none,2111761 DTD.15.05.2020,Visvesvaraya Iron & Steel Plant,May 16 2020  1:00:00:000PM,May 26 2020  3:00:00:000PM, --  ,4
procurement of rolls for Wire rod mill and Bar Mill of SAIL ISP,hardware,2131 dt.21/02/2020,IISCO Steel Plant,Feb 24 2020  5:00:00:000PM,Apr 20 2020  3:00:00:000PM,Corr,2
Global Tender for Tundish Refractories for Caster 1 and 2 on Total Tundish Management basis for SAIL ISP,machine,2270 dtd. 03/03/2020,IISCO Steel Plant,Mar  5 2020 12:00:00:000PM,Mar 24 2020  3:01:00:000PM, --  ,3
MEDICINES,none,2312066 DTD 14.03.2020,Visvesvaraya Iron & Steel Plant,May  5 2020 12:30:00:000PM,May 25 2020  3:00:00:000PM,Corr,4
CONVEYOR BELT FOR SHR/UHR GRADE  BELT.,machine,273-1961000001/01/00 dt.29.02.2020,Rourkela Steel Plant,Feb 29 2020  6:00:00:000PM,Mar 23 2020  4:00:00:000PM, --  ,3
CONVEYOR BELT  FOR SAR GRADE BELT ABOVE 1000MM.,machine,273-1961000002/01/0 dt.29.02.2020,Rourkela Steel Plant,Feb 29 2020  6:00:00:000PM,Mar 23 2020  4:00:00:000PM,Corr,3
M24 GRADE BELT UPTO 800 MM(INCLUDING).,hardware,273-1961000011/01/00 dtd.24.03.2020,Rourkela Steel Plant,Mar 24 2020 11:30:00:000AM,Apr 16 2020  4:00:00:000PM, --  ,2
DRILL BITS,hardware,3312045 dtd:15.04.2020,Visvesvaraya Iron & Steel Plant,Apr 17 2020  6:00:00:000PM,May 11 2020  3:00:00:000PM, --  ,2
DRILL BITS,hardware,3312045 dtd:15.04.2020,Visvesvaraya Iron & Steel Plant,Apr 17 2020  6:00:00:000PM,May 11 2020  3:00:00:000PM, --  ,2
WELDING ELECTRODES,hardware,3312048 dtd. 29.04.2020,Visvesvaraya Iron & Steel Plant,May  5 2020 10:30:00:000AM,May 15 2020  3:00:00:000PM, --  ,2
"Road Transportation of Materials (Finished Products & other Materials) to destinations across India (Outward & Inward Transportation), at VISL Bhadravathi",none,3611927 Dated 10.03.2020,Visvesvaraya Iron & Steel Plant,Mar 11 2020  6:30:00:000PM,May 21 2020  3:00:00:000PM,Corr,4
HARDENING MACHINE,machine,3915135 DATED 18.02.2020,Visvesvaraya Iron & Steel Plant,Feb 18 2020  3:00:00:000PM,May  8 2020  3:00:00:000PM,Corr,3
"SUPPLY, INSTALLATION & COMMISSIONING OF BAR PEELING MACHINE",machine,3915136 dated 18.04.2020,Visvesvaraya Iron & Steel Plant,Apr 18 2020  3:30:00:000PM,May 29 2020  3:00:00:000PM,Corr,3
"SUPPLY, INSTALLATION & COMMISSIONING OF CENTRELESS GRINDING MACHINE",machine,3915137 dated 23.04.2020,Visvesvaraya Iron & Steel Plant,Apr 23 2020 11:00:00:000AM,May 30 2020  3:00:00:000PM,Corr,3
SUPPLY OF HYDRAULIC PUMP FOR 1600 TON PRESS,machine,3915138 dated 07.05.2020,Visvesvaraya Iron & Steel Plant,May  7 2020 12:00:00:000PM,May 28 2020  3:00:00:000PM, --  ,3
PROCUREMENT OF SWITCHGEAR FOR A1 FURNACE CONVERSION,electronics,5112441 Dtd 18.03.2020,Visvesvaraya Iron & Steel Plant,Apr 29 2020  5:00:00:000PM,May  6 2020  3:00:00:000PM, --  ,1
REFRACTORY SHEATHS,none,5112443 DTD.30.03.2020,Visvesvaraya Iron & Steel Plant,May 13 2020  4:30:00:000PM,May 21 2020  3:00:00:000PM, --  ,4
TWO WAY LEVER SWITCH FOR HOIST,electronics,5112444 DTD.02.04.2020,Visvesvaraya Iron & Steel Plant,May 13 2020  3:45:00:000PM,May 18 2020  3:00:00:000PM, --  ,1
Procurement of TIG Welding Machine,machine,5112446 dtd 25.04.2020,Visvesvaraya Iron & Steel Plant,Apr 27 2020  5:00:00:000PM,May 11 2020  3:00:00:000PM, --  ,3
POWER & CONTROL CONTRACTOR,electronics,5112447 dtd.09.05.2020,Visvesvaraya Iron & Steel Plant,May 15 2020  4:00:00:000PM,May 23 2020  3:00:00:000PM, --  ,1
SUPPLY OF HYDRAULIC VALVES,hardware,5215319 dated 30.03.2020,Visvesvaraya Iron & Steel Plant,Mar 30 2020 12:00:00:000PM,May 30 2020  3:00:00:000PM,Corr,2
FLEXIBLE TYRE COUPLING,hardware,5215320 DATED 08.05.2020,Visvesvaraya Iron & Steel Plant,May 11 2020  4:00:00:000PM,May 16 2020  3:00:00:000PM, --  ,2
FLEXIBLE TYRE COUPLING,hardware,5215320 DATED 08.05.2020,Visvesvaraya Iron & Steel Plant,May 11 2020  4:00:00:000PM,May 16 2020  3:00:00:000PM, --  ,2
FLEXIBLE COUPLING,hardware,5215321 dated 11.05.2020,Visvesvaraya Iron & Steel Plant,May 11 2020  4:00:00:000PM,May 19 2020  3:00:00:000PM, --  ,2
PROCUREMENT OF UNARMOURED CABLES FOR CRANES,hardware,5610855 DTD 03.04.2020,Visvesvaraya Iron & Steel Plant,Apr 29 2020  3:00:00:000PM,May  7 2020  3:00:00:000PM, --  ,2
OXYGEN AND NITROGEN GAS FILLED IN CYLINDERS.,raw_materials,647/1953000051/01/00 dtd.22.11.2019,Rourkela Steel Plant,Nov 29 2019  4:00:00:000PM,Apr  2 2020  4:00:00:000PM,Corr,5
ROLLED STEEL BG TROUGH SLEEPERS FOR 52 KG/M RAIL.,none,697/1922000044/01/0 dtd.20.12.2019,Rourkela Steel Plant,Jan 31 2020 11:00:00:000AM,Mar 23 2020  4:00:00:000PM,Corr,4
"Bolts, Nuts and Washers",hardware,7112641 dated 23.03.2020,Visvesvaraya Iron & Steel Plant,Apr 18 2020 12:40:00:000PM,May 25 2020  3:00:00:000PM,Corr,2
HELIFLEX PETROLEUM HOSE PIPE,hardware,7112643 DATED 06.04.2020,Visvesvaraya Iron & Steel Plant,Apr 18 2020 11:00:00:000AM,May 26 2020  3:00:00:000PM,Corr,2
Allen Bolts,hardware,7112644 dated 10.04.2020,Visvesvaraya Iron & Steel Plant,Apr 18 2020 12:00:00:000PM,May 19 2020  3:00:00:000PM,Corr,2
MS Black ERW Pipes,hardware,7112645 dated 17.04.2020,Visvesvaraya Iron & Steel Plant,Apr 18 2020 12:20:00:000PM,May 12 2020  3:00:00:000PM, --  ,2
"PVC,CPVC Pipes & Specials",hardware,7112646 dated 23.04.2020,Visvesvaraya Iron & Steel Plant,Apr 27 2020  3:10:00:000PM,May 19 2020  3:00:00:000PM, --  ,2
B Class GI Specials and GM Gate Valves,hardware,7112647 dated 06.05.2020,Visvesvaraya Iron & Steel Plant,May  7 2020 12:35:00:000PM,May 23 2020  3:00:00:000PM, --  ,2
Wire Ropes,hardware,7410388 dated 16.05.2020,Visvesvaraya Iron & Steel Plant,May 19 2020  1:00:00:000PM,Jun  2 2020  3:00:00:000PM, --  ,2
"Open Tender for Procurement of 3 core x 70 sq.mm copper cable for SAIL - Collieries Division, Chasnalla Colliery",hardware,770619110046/M-019/02/082/1007/903 dated 02.04.2020,Raw Materials Division (RMD),Apr  6 2020  3:00:00:000PM,Apr 28 2020 11:00:00:000AM, --  ,2
Procurement of Vanadium Pentoxide Catalyst,raw_materials,8000011732,Bhilai Steel Plant,Jan  1 2020 12:00:00:000PM,May 23 2020  1:00:00:000PM,Corr,5
,none,8000013098,Bhilai Steel Plant,Apr  8 2020  6:00:00:000PM,Apr 25 2020  3:00:00:000PM, --  ,4
DIAPHRAGM,hardware,8000013315 dated 03.03.2020,Bhilai Steel Plant,Mar 13 2020 12:00:00:000PM,Apr 30 2020  1:00:00:000PM,Corr,2
Procurement of water treatment chemicals for SMS3,raw_materials,8000013318 dt 04.03.2020,Bhilai Steel Plant,Mar  9 2020  8:00:00:000PM,May 30 2020  1:00:00:000PM,Corr,5
Nozzlex Compound/ Ladle Well Filler along with Application for SMS 2,none,8000013434,Bhilai Steel Plant,Mar  6 2020  6:00:00:000PM,May  5 2020  1:00:00:000PM,Corr,4
Conveyor Belts,machine,8000013484 dtd. 03.03.2020,Bhilai Steel Plant,Mar 16 2020 11:00:00:000AM,May 14 2020  1:00:00:000PM,Corr,3
Conveyor Belts,machine,8000013485 dtd. 03.03.2020,Bhilai Steel Plant,Mar 14 2020  8:00:00:000PM,May 14 2020  1:00:00:000PM,Corr,3
Conveyor Belts,machine,8000013486 dtd. 06.03.2020,Bhilai Steel Plant,Mar 16 2020 11:00:00:000AM,May 14 2020  1:00:00:000PM,Corr,3
slag arresting refractory darts,hardware,8000013703 dtd. 16.03.2020.,Bhilai Steel Plant,Mar 19 2020 12:00:00:000PM,May  9 2020  1:00:00:000PM,Corr,2
VAD HEAT RADIATION SHIELD SETS on Performance Guarantee & Bonus-Penalty basis,none,8000013753 and 15.04.2020,Bhilai Steel Plant,Apr 20 2020  6:00:00:000PM,May 28 2020  1:00:00:000PM,Corr,4
SUPPLY OF DOOR FRAMES & ARMOURED FRAMES,hardware,8000013942 dated 02.04.2020,Bhilai Steel Plant,Apr  6 2020  4:00:00:000PM,Apr 30 2020  1:00:00:000PM, --  ,2
ARGON RINSING LANCE,hardware,8000013952 dtd. 31.03.2020.,Bhilai Steel Plant,Apr  2 2020  6:00:00:000PM,May 28 2020  1:00:00:000PM,Corr,2
TAP HOLE TUBES FOR SMS2,hardware,8000014162 dtd. 20.04.2020,Bhilai Steel Plant,Apr 20 2020  6:00:00:000PM,May 26 2020  1:00:00:000PM,Corr,2
"Bhilai Steel Plant intends to procure “Common Salt, Sodium Chloride-Commercial” as detailed in our RFX No. 8000014214 dtd. 24.04.2020",raw_materials,8000014214 dtd. 24.04.2020,Bhilai Steel Plant,May  1 2020  2:00:00:000PM,May 19 2020  1:00:00:000PM, --  ,5
Pre Tap Plug for converters in SMS-2,hardware,8000014223 dtd. 25.04.2020.,Bhilai Steel Plant,Apr 27 2020  6:00:00:000PM,May 28 2020  1:00:00:000PM,Corr,2
Reversing Valves,hardware,8000014322 dated 13.05.2020,Bhilai Steel Plant,May 19 2020  1:00:00:000PM,May 23 2020  1:00:00:000PM, --  ,2
LDO,raw_materials,8211213 dtd 18.03.2020,Visvesvaraya Iron & Steel Plant,Apr 11 2020 12:30:00:000PM,May 25 2020  3:00:00:000PM,Corr,5
LDO,raw_materials,8211213 dtd 18.03.2020,Visvesvaraya Iron & Steel Plant,Apr 11 2020 12:30:00:000PM,Apr 20 2020  3:00:00:000PM, --  ,5
LDO,raw_materials,8211213 dtd 18.03.2020,Visvesvaraya Iron & Steel Plant,Apr 11 2020 12:30:00:000PM,Apr 20 2020  3:00:00:000PM, --  ,5
LDO,raw_materials,8211213 dtd 18.03.2020,Visvesvaraya Iron & Steel Plant,Apr 11 2020 12:30:00:000PM,Apr 20 2020  3:00:00:000PM, --  ,5
Dissolved Acetylene Gas,raw_materials,8410872 dtd 18.03.2020,Visvesvaraya Iron & Steel Plant,Mar 18 2020  5:45:00:000PM,May 22 2020  3:00:00:000PM,Corr,5
Online Forward Auction of Idle Assets,none,Auction Notice No : Mktg/FA/Genl/19-20/0021001177/ Dated:12/03/2020,Durgapur Steel Plant,Mar 14 2020  4:00:00:000PM,Mar 25 2020 12:00:00:000PM, --  ,4
Online Forward Auction for BF Granulated Slag,none,Auction Notice No: Mktg/FA/Genl/20-21/0021001185 Dated: 03.04.2020,Durgapur Steel Plant,Apr  3 2020  5:00:00:000PM,Apr  7 2020 12:00:00:000PM, --  ,4
WHEEL MOUNTED DIESEL ENGINE DRIVEN WELDING GENERATIOR,machine,BIM/PUR/OT/01/2019-2020/001  dtd02/01/2020,Raw Materials Division (RMD),Jan  3 2020  7:00:00:000PM,May 15 2020  4:00:00:000PM,Corr,3
X-RAY FLUORESCENCE SPECTROMETER,electronics,BSL/PUR/GTE/P16/1787/8000000662 dated 24.12.2019,Bokaro Steel Plant,Jan 15 2020  5:00:00:000PM,May 23 2020  2:30:00:000PM,Corr,1
"Ceramic Fibre Module Set for RHF, 01 set",raw_materials,BSL/PUR/OTE/P14/888/7000012480 DATED 11.02.2020,Bokaro Steel Plant,Feb 12 2020  6:00:00:000PM,Apr  6 2020  2:30:00:000PM,Corr,5
"MONITOR, FLOW, ELECTRONIC",electronics,BSL/PUR/OTE/P16/1823MJ/7000012542 dated 20.02.2020,Bokaro Steel Plant,Feb 21 2020  5:00:00:000PM,Mar 28 2020  2:30:00:000PM,Corr,1
Blood Chemistry Analyzer,electronics,BSL/PUR/OTE/P36/338/7000012692 dated 27.03.2020,Bokaro Steel Plant,Apr 18 2020  1:30:00:000PM,May 12 2020  2:30:00:000PM, --  ,1
Blood Chemistry Analyzer,electronics,BSL/PUR/OTE/P36/338/7000012692 dated 27.03.2020,Bokaro Steel Plant,Apr 18 2020  1:30:00:000PM,May 12 2020  2:30:00:000PM, --  ,1
ULTRASOUND MACHINE,machine,BSL/PUR/OTE/P36/347/7000012691 dated 27.03.2020,Bokaro Steel Plant,Apr 18 2020  1:00:00:000PM,May 14 2020  2:30:00:000PM, --  ,3
AB Scan Machine With UBM Equipment,machine,BSL/PUR/OTE/P36/429/7000012580 dated 03.03.2020,Bokaro Steel Plant,Mar 21 2020  4:00:00:000PM,Apr  4 2020  2:30:00:000PM, --  ,3
AB Scan Machine,machine,BSL/PUR/OTE/P36/429/7000012841 dated 22.04.2020,Bokaro Steel Plant,Apr 25 2020 10:45:00:000AM,May 21 2020  2:30:00:000PM, --  ,3
Bed Side Multi Parameter Monitor,electronics,BSL/PUR/OTE/P36/430/7000012120 dated 07.11.2019,Bokaro Steel Plant,Mar 23 2020  5:00:00:000PM,Apr  7 2020  2:30:00:000PM, --  ,1
Bed Side Multi Parameter Monitor,electronics,BSL/PUR/OTE/P36/430/7000012840 dated 22.04.2020,Bokaro Steel Plant,Apr 25 2020 10:30:00:000AM,May 21 2020  2:30:00:000PM, --  ,1
BOXN HS WAGON,none,BSL/PUR/OTE/P67/174/7000011481 dated 16.07.2019,Bokaro Steel Plant,Feb 15 2020  5:30:00:000PM,May 30 2020  2:30:00:000PM,Corr,4
"TENDER  FOR SALE OF USED ASSETS ATBSO GHAZIABAD AT GDA COMMERCIAL COMPLEX, 1st FLOOR, NAVYUG MARKET,GHAZIABAD & WH GHAZIABAD NEAR GULDHAR RAILWAY STATION, GHAZIABAD",none,CMO/REC/BS/GHA/01/2020-21 04/05/2020,Central Marketing Organisations (NR),May  5 2020  3:30:00:000PM,Jun 20 2020  4:01:00:000PM,Corr,4
Replacement of groove cutting lathe/ notch milling machine at Roll Shop,machine,DSP/ PROJ-PUR/Lathe m/c/Roll Shop/SKV/523 dated 14.02.2020,Durgapur Steel Plant,Feb 14 2020  3:40:00:000PM,May 26 2020  3:00:00:000PM,Corr,3
Sale of Def Steel Scrap/Cuttings,none,FA 10100381 Dated 20.04.2020,Bhilai Steel Plant,Apr 20 2020  6:45:00:000PM,Apr 24 2020  5:00:00:000PM, --  ,4
SAle of Def/ Cuttings Steel Scrap items,none,FA 10100382 Dated 29.04.2020,Bhilai Steel Plant,Apr 30 2020  1:45:00:000PM,May  4 2020  5:30:00:000PM, --  ,4
Sale of Def/ Cutting Steel Scrap Items,none,FA 10100383 Dated 27.04.2020,Bhilai Steel Plant,Apr 27 2020  4:45:00:000PM,Apr 30 2020  7:00:00:000PM, --  ,4
Sale of Misc Non Ferroue Items,hardware,FA 10140373 Dt 28.04.2020,Bhilai Steel Plant,Apr 24 2020  7:15:00:000PM,Apr 28 2020  5:30:00:000PM, --  ,2
Sale Of Iron Ore Fines,raw_materials,FA 10140377 Dated 20.02.2020,Bhilai Steel Plant,Feb 20 2020  6:05:00:000PM,May 30 2020  1:00:00:000PM,Corr,5
Sale of Misc Ferrous Items,hardware,FA 10150256 dtd 24.04.2020,Bhilai Steel Plant,Apr 24 2020  7:30:00:000PM,Apr 28 2020  5:30:00:000PM, --  ,2
Sale of Surveyed of / Scrap of Blast Furnace-2 of BSP,none,FA 10160186 dated 26.02.2020,Bhilai Steel Plant,Feb 26 2020  8:00:00:000PM,May 28 2020  1:00:00:000PM,Corr,4
Sale of Idle Assets/ Surveyed off items,none,FA 10160189 td 27.04.2020,Bhilai Steel Plant,Apr 21 2020  3:30:00:000PM,Apr 27 2020  6:00:00:000PM, --  ,4
Sale of Idle Assets/ Surveyed Off items,none,FA 10160190 Dated 13.05.2020,Bhilai Steel Plant,May 13 2020  7:06:00:000PM,May 19 2020  5:30:00:000PM, --  ,4
Sale of Non Ferrous Metal Wastes & Metal Scrap,none,FA 10170144 Dated 18.04.2020,Bhilai Steel Plant,Apr 20 2020  2:45:00:000PM,Apr 22 2020  5:30:00:000PM, --  ,4
Sale of Non Ferrous Metal Waste & Misc Scrap,none,FA 10170145 Dated 06.05.2020,Bhilai Steel Plant,May  7 2020  2:55:00:000PM,May 11 2020  2:30:00:000PM, --  ,4
FA No. 24003001 Dt. 25.03.20 Idle Assets - SMS Mixer Bldg,none,FA No. 24003001 Dt. 25.03.20 Idle Assets - SMS Mixer Bldg,Bokaro Steel Plant,Mar 20 2020  1:15:00:000PM,Mar 25 2020  6:00:00:000PM, --  ,4
FA No. 24003002 dt. 25.03.20 – IDLE ASSETS –Coke Oven Battery No.-6,electronics,FA No. 24003002 dt. 25.03.20 – IDLE ASSETS –Coke Oven Battery No.-6,Bokaro Steel Plant,Mar 20 2020  1:15:00:000PM,Mar 25 2020  6:00:00:000PM, --  ,1
FA No. 24003003 dt. 25.03.20 – IDLE ASSETS,none,FA No. 24003003 dt. 25.03.20 – IDLE ASSETS,Bokaro Steel Plant,Mar 20 2020  1:15:00:000PM,Mar 25 2020  6:00:00:000PM, --  ,4
FA No. 24003004 dt. 25.03.20 – E-WASTE LOTS,none,FA No. 24003004 dt. 25.03.20 – E-WASTE LOTS,Bokaro Steel Plant,Mar 20 2020  3:15:00:000PM,Mar 25 2020  6:00:00:000PM, --  ,4
FA No. 24003005 dt. 25.03.20 – WASTE / SCRAP ROLLS,none,FA No. 24003005 dt. 25.03.20 – WASTE / SCRAP ROLLS,Bokaro Steel Plant,Mar 20 2020  3:30:00:000PM,Mar 25 2020  6:00:00:000PM, --  ,4
FA No. 24003006 dt. 25.03.20 – WASTE & SCRAP STORES,none,FA No. 24003006 dt. 25.03.20 – WASTE & SCRAP STORES,Bokaro Steel Plant,Mar 20 2020  3:30:00:000PM,Mar 25 2020  6:00:00:000PM, --  ,4
FA No. 24003007 dt. 25.03.20 – SECONDARY STEEL,raw_materials,FA No. 24003007 dt. 25.03.20 – SECONDARY STEEL,Bokaro Steel Plant,Mar 20 2020  3:30:00:000PM,Mar 25 2020  6:00:00:000PM, --  ,5
FA No. 24003008 dt. 25.03.20 – COAL CHEMICALS,raw_materials,FA No. 24003008 dt. 25.03.20 – COAL CHEMICALS,Bokaro Steel Plant,Mar 20 2020  3:30:00:000PM,Mar 25 2020  6:00:00:000PM, --  ,5
FA No. 24003009 dt. 25.03.20 – WASTE PRODUCTS,none,FA No. 24003009 dt. 25.03.20 – WASTE PRODUCTS,Bokaro Steel Plant,Mar 20 2020  3:40:00:000PM,Mar 25 2020  6:00:00:000PM, --  ,4
"FA No. 24003010 dt. 25.03.20 – ARGON,LIQUID",raw_materials,"FA No. 24003010 dt. 25.03.20 – ARGON,LIQUID",Bokaro Steel Plant,Mar 20 2020  3:40:00:000PM,Mar 25 2020  6:00:00:000PM, --  ,5
FA No. 24003011 dt. 25.03.20 – Air Cooled BF Slag (Metal Free),none,FA No. 24003011 dt. 25.03.20 – Air Cooled BF Slag (Metal Free),Bokaro Steel Plant,Mar 20 2020  3:45:00:000PM,Mar 25 2020  6:00:00:000PM, --  ,4
FA No. 24003012 dt. 10.04.20 – COAL CHEMICALS,raw_materials,FA No. 24003012 dt. 10.04.20 – COAL CHEMICALS,Bokaro Steel Plant,Apr  6 2020 11:30:00:000AM,Apr 10 2020  5:00:00:000PM, --  ,5
